Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,20pF,C_0805_2012Metric,188.976,-83.185,270,top
C2,20pF,C_0805_2012Metric,186.143,-80.01,180,top
C3,22uF,C_0805_2012Metric,142.272,-83.0095,270,top
C4,100nF,C_0805_2012Metric,147.066,-83.0095,270,top
C5,100nF,C_0805_2012Metric,163.957,-85.5495,270,top
C6,100nF,C_0805_2012Metric,182.372,-85.217,90,top
C7,1uF,C_0805_2012Metric,172.2905,-91.567,180,top
C8,100nF,C_0805_2012Metric,163.957,-77.978,270,top
D1,LED,LED_0805_2012Metric,220.8045,-61.595,0,top
D2,LED,LED_0805_2012Metric,210.364809,-61.595,0,top
D3,LED,LED_0805_2012Metric,199.925122,-61.595,0,top
D4,LED,LED_0805_2012Metric,189.485435,-61.595,0,top
D5,LED,LED_0805_2012Metric,179.045748,-61.595,0,top
D6,LED,LED_0805_2012Metric,168.606061,-61.595,0,top
D7,LED,LED_0805_2012Metric,158.166374,-61.595,0,top
D8,LED,LED_0805_2012Metric,147.726687,-61.595,0,top
D9,LED,LED_0805_2012Metric,137.287,-61.595,0,top
F1,Fuse,Fuse_0805_2012Metric,143.002,-79.883,180,top
Q1,MOSFET_N,SOT-23,149.987,-70.936,180,top
R1,10k,R_0805_2012Metric,143.256,-91.1375,270,top
R2,330,R_0805_2012Metric,146.05,-91.1375,270,top
R3,22R,R_0805_2012Metric,143.002,-75.194,180,top
R4,22R,R_0805_2012Metric,143.002,-77.343,180,top
R5,10k,R_0805_2012Metric,144.669,-83.0095,270,top
R6,10k,R_0805_2012Metric,168.208,-72.771,0,top
R7,10k,R_0805_2012Metric,215.138,-89.281,90,top
R8,10k,R_0805_2012Metric,212.852,-89.281,90,top
R9,330,R_0805_2012Metric,202.692,-70.866,270,top
R10,330,R_0805_2012Metric,199.009,-70.866,270,top
R11,330,R_0805_2012Metric,195.326,-70.866,270,top
R12,330,R_0805_2012Metric,191.643,-70.866,270,top
R13,330,R_0805_2012Metric,187.96,-70.866,270,top
R14,330,R_0805_2012Metric,184.277,-70.866,270,top
R15,330,R_0805_2012Metric,180.594,-70.866,270,top
R16,330,R_0805_2012Metric,176.911,-70.866,270,top
R17,330,R_0805_2012Metric,173.228,-70.866,270,top
R18,10k,R_0805_2012Metric,153.416,-70.936,90,top
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,173.228,-82.164,90,top
Y1,16 MHz X322516MLB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,186.143,-83.228,270,top
