Reference, Value, Footprint, Datasheet, LCSC Part #, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status
"U1","ATmega32U4-AU","Package_QFP:TQFP-44_10x10mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf","C44854","","","","","","","","",""
"Y1","16 MHz X322516MLB4SI","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","C13738","","","","","","","","",""
"C1","20pF","Capacitor_SMD:C_0805_2012Metric","~","C1798","","","","","","","","",""
"C2","20pF","Capacitor_SMD:C_0805_2012Metric","~","C1798","","","","","","","","",""
"R1","10k","Resistor_SMD:R_0805_2012Metric","~","C17414","","","","","","","","",""
"C6","100nF","Capacitor_SMD:C_0805_2012Metric","~","C49678","","","","","","","","",""
"C8","100nF","Capacitor_SMD:C_0805_2012Metric","~","C49678","","","","","","","","",""
"D1","LED","LED_SMD:LED_0805_2012Metric","~","C2293","","","","","","","","",""
"R9","330","Resistor_SMD:R_0805_2012Metric","~","C17630","","","","","","","","",""
"D2","LED","LED_SMD:LED_0805_2012Metric","~","C2293","","","","","","","","",""
"R10","330","Resistor_SMD:R_0805_2012Metric","~","C17630","","","","","","","","",""
"D3","LED","LED_SMD:LED_0805_2012Metric","~","C2293","","","","","","","","",""
"R11","330","Resistor_SMD:R_0805_2012Metric","~","C17630","","","","","","","","",""
"D4","LED","LED_SMD:LED_0805_2012Metric","~","C2293","","","","","","","","",""
"R12","330","Resistor_SMD:R_0805_2012Metric","~","C17630","","","","","","","","",""
"D5","LED","LED_SMD:LED_0805_2012Metric","~","C2293","","","","","","","","",""
"R13","330","Resistor_SMD:R_0805_2012Metric","~","C17630","","","","","","","","",""
"D6","LED","LED_SMD:LED_0805_2012Metric","~","C2293","","","","","","","","",""
"R14","330","Resistor_SMD:R_0805_2012Metric","~","C17630","","","","","","","","",""
"D7","LED","LED_SMD:LED_0805_2012Metric","~","C2293","","","","","","","","",""
"R15","330","Resistor_SMD:R_0805_2012Metric","~","C17630","","","","","","","","",""
"R2","330","Resistor_SMD:R_0805_2012Metric","~","C17630","","","","","","","","",""
"D8","LED","LED_SMD:LED_0805_2012Metric","~","C2293","","","","","","","","",""
"R16","330","Resistor_SMD:R_0805_2012Metric","~","C17630","","","","","","","","",""
"D9","LED","LED_SMD:LED_0805_2012Metric","~","C2293","","","","","","","","",""
"R17","330","Resistor_SMD:R_0805_2012Metric","~","C17630","","","","","","","","",""
"F1","Fuse","Fuse:Fuse_0805_2012Metric","~","C116170","","","","","","","","",""
"C3","22uF","Capacitor_SMD:C_0805_2012Metric","~","C45783","","","","","","","","",""
"R5","10k","Resistor_SMD:R_0805_2012Metric","~","C17414","","","","","","","","",""
"C4","100nF","Capacitor_SMD:C_0805_2012Metric","~","C49678","","","","","","","","",""
"J3","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
"C7","1uF","Capacitor_SMD:C_0805_2012Metric","~","C28323","","","","","","","","",""
"C5","100nF","Capacitor_SMD:C_0805_2012Metric","~","C49678","","","","","","","","",""
"J2","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"R6","10k","Resistor_SMD:R_0805_2012Metric","~","C17414","","","","","","","","",""
"SW2","SW_Push","Button_Switch_THT:SW_PUSH_6mm_H7.3mm","~"
"SW3","SW_Push","Button_Switch_THT:SW_PUSH_6mm_H7.3mm","~"
"R7","10k","Resistor_SMD:R_0805_2012Metric","~","C17414","","","","","","","","",""
"R8","10k","Resistor_SMD:R_0805_2012Metric","~","C17414","","","","","","","","",""
"Q1","MOSFET_N","Package_TO_SOT_SMD:SOT-23","","C20917","","","","","","","","",""
"R18","10k","Resistor_SMD:R_0805_2012Metric","~","C17414","","","","","","","","",""
"SW1","SW_Push","Button_Switch_THT:SW_PUSH_6mm_H7.3mm","~"
"R3","22R","Resistor_SMD:R_0805_2012Metric","~","C17561","","","","","","","","",""
"R4","22R","Resistor_SMD:R_0805_2012Metric","~","C17561","","","","","","","","",""
"J1","0548190519","digikey-footprints:USB_Mini_B_Female_548190519","https://www.molex.com/pdm_docs/sd/548190519_sd.pdf","","Connectors, Interconnects","https://www.molex.com/pdm_docs/sd/548190519_sd.pdf","/product-detail/en/molex/0548190519/WM17115-ND/773802","CONN RCPT USB2.0 MINI B 5P R/A","WM17115-ND","USB, DVI, HDMI Connectors","0548190519","Molex","Active"
